"model_id","k","N","effect","se","ci_low","ci_high","p","tau2","I2","pi_low","pi_high","max_effect_input_difference","max_variance_input_difference"
"opioid24_TEAS_sham",1,48,-7.7,1.49133050215794,-10.6229540732756,-4.7770459267244,2.427962721279e-07,0,NA,NA,NA,0,0
"opioid24_TEAS_usual",1,47,-8,1.48979621211197,-10.9199469200437,-5.08005307995633,7.87969353937456e-08,0,NA,NA,NA,0,0
"opioid24_EA_usual",2,159,-6.83199273546786,5.47438511585907,-76.3906508222406,62.7266653513049,0.43005259792097,43.5151471192722,72.4518273470754,NA,NA,1.77635683940025e-15,0
"opioid24_EA_usual_without_ElRakshy",1,64,-12.56,4.38905599189621,-21.1623916702463,-3.95760832975371,0.00421424479252133,0,NA,NA,NA,1.77635683940025e-15,0
"opioid24_TEAS_sham_expanded_suf0.25",4,337,-7.35608555381506,3.64995389342424,-18.9718678363989,4.25969672876881,0.13726600103226,35.6947639464466,98.144931838336,NA,NA,0,2.77555756156289e-17
"opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020",3,257,-8.4091399082255,5.63743732782912,-32.665075015601,15.84679519915,0.274305312373529,76.403142492715,96.9387290879571,NA,NA,0,0
"opioid24_TEAS_sham_expanded_suf0.5",4,337,-9.7636940160432,4.14228251812431,-22.9462857112892,3.41889767920282,0.0996633514711263,57.6388312998249,97.9256156821689,NA,NA,1.77635683940025e-15,0
"opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020",3,257,-8.4091399082255,5.63743732782912,-32.665075015601,15.84679519915,0.274305312373529,76.403142492715,96.9387290879571,NA,NA,0,0
"opioid24_TEAS_sham_expanded_suf1",4,337,-13.995274623331,6.44896272186139,-34.5187522104311,6.52820296376918,0.11843838909303,156.882276310053,98.5906776204154,NA,NA,3.5527136788005e-15,4.44089209850063e-16
"opioid24_TEAS_sham_expanded_suf1_without_Chen2020",3,257,-8.4091399082255,5.63743732782912,-32.665075015601,15.84679519915,0.274305312373529,76.403142492715,96.9387290879571,NA,NA,0,0
"opioid24_EA_usual_expanded",3,339,-3.93583388832354,3.68084298357826,-19.7732229993957,11.9015552227486,0.396894699260446,28.471277106615,77.1526117364524,NA,NA,1.77635683940025e-15,0
"opioid_partial_EA_sham",1,75,-11.8,3.43054704984854,-18.5237486649733,-5.07625133502674,0.000582392368671724,0,NA,NA,NA,0,0
"opioid_partial_EA_usual",1,75,-19.7,3.70327599042044,-26.958287566036,-12.441712433964,1.03987454179061e-07,0,NA,NA,NA,0,0
"opioid_partial_TEAS_sham",1,34,-3.9009090909091,2.56414022864596,-8.92653159036548,1.12471340854729,0.128176494061818,0,NA,NA,NA,4.44089209850063e-16,0
"opioid24_EA_sham_weight_normalized",1,90,-0.13,0.0756407656209852,-0.278253176380166,0.0182531763801665,0.0856781258941758,0,NA,NA,NA,0,8.67361737988404e-19
"opioid24_EA_sham_fentanyl_per_kg",1,22,-3.2,0.810402453569914,-4.78835962197993,-1.61164037802008,7.85914000515021e-05,0,NA,NA,NA,0,0
"ponv24_TEAS_sham",11,3532,-0.466761119497783,0.0958172554270173,-0.680255269005413,-0.253266969990153,0.000650281055145583,0.0378112212493999,47.7511452288453,-0.949769861274333,0.0162476222787672,2.22044604925031e-16,5.55111512312578e-17
"ponv24_TEAS_sham_point_window_sensitivity",13,3696,-0.418974821391301,0.11425747239255,-0.667920468125538,-0.170029174657065,0.00322499935230617,0.0869909625633475,66.7593388749337,-1.10813346600402,0.270183823221418,2.22044604925031e-16,5.55111512312578e-17
"nausea24_EA_usual",2,237,-0.415221190805697,0.19063604267738,-2.83748177915862,2.00703939754723,0.274008514628059,0.00103786392490672,0.917152333714153,NA,NA,5.55111512312578e-17,0
"vomiting24_EA_usual",2,237,-0.635932638744691,0.271585958317784,-4.08675942860066,2.81489415111128,0.256952640112875,0,0,NA,NA,1.11022302462516e-16,1.38777878078145e-17
"nausea24_TEAS_sham",3,735,-0.403300126440289,0.196085849428208,-1.24698944174781,0.440389188867233,0.175994734068398,0.0307952248770099,35.1203969922717,NA,NA,1.11022302462516e-16,0
"vomiting24_TEAS_sham",5,2495,-0.441791144393136,0.174555419301308,-0.926434683898002,0.0428523951117303,0.0645993008330229,0.0537468409517964,42.868998973246,-1.24751740518958,0.363935116403306,3.2612801348364e-16,0
"persistent_nausea24_TEAS_sham",1,1655,-0.846089401025636,0.277395313683694,-1.38977422532587,-0.302404576725405,0.00228748831508861,0,NA,NA,NA,1.11022302462516e-16,0
"nausea48_TEAS_sham",1,277,-0.78501783523069,0.214695062307119,-1.20581242501123,-0.364223245450153,0.000255750496390835,0,NA,NA,NA,0,0
"vomiting48_TEAS_sham",1,277,-1.09139204069462,0.365660398091231,-1.80807325152601,-0.374710829863232,0.00283842736483251,0,NA,NA,NA,2.22044604925031e-16,0
"ponv48_TEAS_usual",1,62,-0.613104472886409,0.232537340135913,-1.06886928461354,-0.157339661159278,0.00837452054983216,0,NA,NA,NA,0,0
"nausea6to24_EA_usual",1,400,-0.69228046843982,0.220888128546276,-1.12521324500297,-0.259347691876666,0.00172395437895467,0,NA,NA,NA,0,0
"vomiting6to24_EA_usual",1,400,-1.08532305654943,0.278681931966767,-1.63152960634633,-0.539116506752521,9.84069213680528e-05,0,NA,NA,NA,0,0
"pain24_rest_TEAS_sham",2,160,-0.504594393258427,0.437675608646997,-6.06579028475705,5.0566014982402,0.454863877289456,0.31155099,78.6645600302992,NA,NA,0,1.73472347597681e-18
"pain24_movement_TEAS_sham",1,100,0.04,0.12568229787842,-0.206332777335939,0.286332777335939,0.750285599855099,0,NA,NA,NA,6.93889390390723e-18,0
"pain24_rest_TEAS_usual",1,58,-0.22,0.124124520348415,-0.463279589481203,0.0232795894812028,0.0763259097763886,0,NA,NA,NA,0,0
"pain24_movement_EA_sham",1,114,-0.338,0.198796077302539,-0.727633151780818,0.0516331517808175,0.0890867771441244,0,NA,NA,NA,0,1.38777878078145e-17
"pain24_movement_EA_sham_with_He",2,244,-0.740099104497113,0.376163574729722,-5.51971049930431,4.03951229031009,0.299360654213244,0.263662844439946,92.7547665993379,NA,NA,0,1.38777878078145e-17
"pain24_rest_EA_sham_He_reported_SD",1,130,-0.903,0.0305216190718846,-0.962821274130745,-0.843178725869255,2.29024054285077e-192,0,NA,NA,NA,0,1.0842021724855e-19
"pain24_unclassified_TEAS_sham",8,948,-1.18704652706607,0.365378097017788,-2.05102843627515,-0.323064617856989,0.0140802959122092,1.03017485647754,97.8167557636223,-3.73785693301033,1.36376387887819,2.22044604925031e-16,1.73472347597681e-18
"pain24_Lee_low_arm_only",1,22,-1.33,0.482952723704229,-2.27656994469581,-0.383430055304188,0.00588910648015517,0,NA,NA,NA,0,0
"pain24_Ng_unspecified",1,110,-0.2,0.37197262851403,-0.929052955122195,0.529052955122195,0.59080215268861,0,NA,NA,NA,2.77555756156289e-17,0
